SN,X,Y,Zn,Pb,Ag,Cu,Mo,Cr,Ni,Co,Ba
1,431434.79,3305001.94,87,7,0.02,42,2,57,38,14,393
2,432522.6,3298058.43,70,6,0.02,56,2,27,29,20,404
3,438045.35,3291987.05,75,5,0.02,69,2,44,23,17,417
4,436260.76,3294412.9,70,6,0.02,54,1,20,19,12,377
5,439294.48,3297653.81,168,14,0.02,27,2,31,18,14,277
6,441406.54,3298650.88,87,11,0.02,37,2,25,28,14,797
7,431189.97,3315353.72,113,11,0.02,40,1,110,36,13,361
8,428527.24,3315392.79,133,9,0.02,45,2,73,42,16,414
9,430881.58,3316951.45,144,8,0.02,58,1,83,39,21,617
10,427968.68,3317058.6,267,11,0.02,37,1,285,43,17,292
11,430291.89,3318273.86,133,10,0.02,61,1,76,33,18,613
12,429455.83,3318788.77,232,7,0.02,46,2,113,36,19,419
13,436292.57,3318436.97,149,11,0.02,46,2,115,47,19,659
14,438747.39,3317536.64,128,13,0.02,40,1,73,34,16,633
15,439411.54,3317322.46,133,12,0.02,38,1,108,28,13,583
16,438415.39,3318580.08,285,56,0.02,80,1,400,100,38,790
17,441486.14,3317433.25,270,55,0.02,69,2,250,118,43,1200
18,441683,3316312.84,152,54,0.02,83,2,267,140,39,930
19,442708.93,3316928.03,178,44,0.02,76,2,230,95,36,700
20,444403.48,3316321.02,272,31,0.02,59,2,235,88,34,760
21,445519.05,3317534.38,168,47,0.02,76,1,121,46,27,462
22,445505.65,3318697.98,265,62,0.02,84,2,100,65,34,420
23,447031.08,3316995.26,172,42,0.02,94,2,159,44,32,460
24,432282.94,3307911.21,178,37,0.02,66,2,115,50,22,542
25,430654.89,3310015.66,125,35,0.02,78,2,216,68,34,470
26,429902.81,3308657.31,285,64,0.02,97,2,175,64,38,640
27,428654.24,3308133.47,170,41,0.02,62,2,110,33,16,590
29,428900.57,3305937.73,752,44,1,122,1,197,128,56,415
30,428598.79,3304033.59,460,120,0.02,128,1,168,95,44,700
31,427730.88,3302753.9,132,84,0.02,100,2,40,117,39,371
32,427744.85,3301955.91,149,60,0.02,114,1,40,117,40,405
33,428844.59,3303178.74,250,174,0.02,74,2,151,147,41,350
34,430198.79,3303480.43,74,8,0.02,49,1,50,118,33,295
35,431439.12,3302597.25,92,9,0.02,56,2,54,152,46,337
36,430162.37,3302317.11,74,11,0.02,65,2,31,120,38,319
37,429475.85,3302199.7,71,10,0.02,52,1,50,104,35,437
38,428479.13,3301928.97,119,12,0.02,44,2,67,110,40,336
39,428292.92,3300024.11,72,7,0.02,78,2,23,135,49,314
40,429389.76,3299318.97,79,14,0.02,79,2,50,120,38,405
41,430258.7,3300754.13,118,17,0.02,92,2,61,135,41,419
42,443635.34,3315150.38,58,10,0.02,61,1,232,161,61,694
43,432357.23,3305838.56,141,59,0.02,53,2,60,241,36,787
44,433524.8,3304080.6,45,13,0.02,35,2,63,124,21,230
45,434361.46,3303444.08,85,14,0.02,35,1,50,85,18,221
46,432664.52,3303964.03,116,14,0.02,36,1,68,130,22,264
47,433650.62,3302506.27,63,10,0.02,33,1,28,70,13,205
48,432424.97,3302679.99,56,12,0.02,37,1,47,75,15,246
49,433689.05,3307337.53,43,12,0.02,44,2,30,48,12,282
50,435185.71,3307295.51,69,13,0.02,44,2,31,59,17,249
51,435375.19,3305044.9,157,12,0.02,23,2,17,33,12,139
52,435836.22,3306283.33,18,6,0.02,27,2,7,24,9,277
53,436303.58,3305239.06,30,2,0.02,17,2,33,35,13,91
54,437500.55,3300001.77,50,2,0.02,21,2,15,34,14,76
55,436234.17,3303222.66,135,17,0.02,46,2,67,57,14,274
56,436462.95,3307786.72,150,16,0.02,52,2,32,61,16,302
57,436836.4,3308948.13,75,13,0.02,42,1,15,42,10,382
58,442508.09,3308008.66,83,8,0.02,43,1,13,38,11,234
59,441775.78,3306438.91,123,10,0.02,42,1,29,72,16,212
60,442139.3,3305794.27,99,7,0.02,55,1,13,49,16,209
61,444695.5,3303288.09,118,22,0.02,68,2,45,96,21,431
62,442784.4,3303519.48,92,22,0.02,45,2,29,91,26,314
63,442511.61,3304917.11,85,14,0.02,53,2,47,121,27,301
64,443403.19,3305577.25,88,9,0.02,48,2,54,116,30,306
65,441426.61,3304280.04,81,14,0.02,51,1,58,74,27,359
66,440573.06,3303608.65,117,15,0.02,44,1,57,101,26,327
67,440251.68,3303111.57,58,22,0.02,64,2,80,153,43,360
68,440912.04,3307418.68,57,8,0.02,55,2,37,93,41,443
69,440635.54,3306267.62,53,9,0.02,62,2,71,129,46,341
70,440304.24,3305693.24,53,10,0.02,109,4,61,112,50,382
71,439760.95,3305230.76,99,8,0.02,48,1,93,98,49,350
72,437030.09,3305633.75,31,9,0.02,52,1,66,77,35,493
73,437944.58,3306847.51,45,8,0.02,79,2,43,97,49,459
74,438951.94,3307440.28,29,9,0.02,57,2,31,65,36,536
75,437609.42,3305608.29,53,16,0.02,71,2,62,109,39,421
76,439030.04,3305833.1,46,11,0.02,56,2,57,99,39,337
77,437900.98,3307678.82,36,14,0.02,74,2,66,88,42,532
78,431900.97,3302317.53,41,14,0.02,84,2,19,65,47,475
79,433136.13,3300470.36,23,12,0.02,43,4,73,80,33,412
80,432934.13,3298997.76,28,8,0.02,75,2,72,85,44,473
81,432234.44,3299955.02,42,14,0.02,83,2,52,94,36,615
82,430745.85,3298313.04,105,15,0.02,49,2,64,106,47,799
83,431770.05,3298273.53,48,11,0.02,73,1,23,110,47,506
84,431099.73,3299263.87,52,15,0.02,46,1,45,86,39,762
85,433535.05,3296046.55,45,17,0.02,79,2,59,102,43,458
86,434435.03,3296229.75,88,14,0.02,54,4,64,90,29,357
87,431170.29,3295052.51,27,10,0.02,93,2,58,94,45,569
88,430318.59,3294891.67,38,8,0.02,58,2,35,80,40,458
89,429724.08,3295637.91,45,15,0.02,92,2,61,159,47,480
90,430104.66,3296233.88,96,12,0.02,103,4,49,100,45,432
91,448586.28,3296643.06,20,7,0.02,41,1,38,59,29,345
92,448792.47,3297306.82,58,6,0.02,39,1,57,82,40,338
93,449983.84,3295805.46,79,6,0.02,72,1,48,118,57,338
94,448780.35,3294669.62,66,7,0.02,83,1,249,58,247,309
95,447639.88,3292636.01,56,7,0.02,69,1,63,51,70,429
96,448154.3,3293099,58,10,0.02,81,2,59,66,60,577
97,449673.96,3293479.87,74,15,0.02,68,2,143,66,40,509
98,449024.11,3293061.81,71,10,0.02,55,2,112,67,44,398
99,449883.01,3292647.9,57,11,0.02,61,2,30,45,35,486
100,450687.3,3293131.9,49,12,0.02,58,4,42,42,30,424
101,450109.09,3291328.27,63,13,0.02,56,2,118,69,42,399
102,448804.57,3291511.5,68,13,0.02,48,2,81,43,26,313
103,428233.89,3295381.3,105,8,0.02,82,2,19,40,35,303
104,428632.6,3295744.61,106,6,0.02,69,2,25,48,37,284
105,432760.73,3294267.12,86,10,0.02,69,1,51,69,35,580
106,433333.73,3294751.28,50,7,0.02,56,2,36,42,24,437
107,433924.5,3293262.98,83,10,0.02,64,2,38,68,36,454
108,434570.53,3292993.07,125,6,0.02,90,1,36,69,45,287
109,434017.78,3292697.26,139,10,0.02,44,2,69,59,35,331
110,432949.09,3291861.37,156,15,0.02,59,1,52,69,39,332
111,433906.73,3291944.43,154,20,0.02,78,2,40,79,47,402
112,431109.68,3291506.92,113,17,0.02,59,2,52,58,37,347
113,430065.54,3293053.8,46,14,0.02,58,1,39,40,26,419
114,429065.78,3292428.35,70,14,0.02,55,2,41,41,29,349
115,427896.75,3292568.79,71,35,0.02,66,2,35,42,24,468
116,451473.65,3296120.34,72,10,0.02,50,1,103,93,40,303
117,451622.06,3294634.74,82,9,0.02,41,2,46,34,26,289
118,451125.69,3298238.33,46,7,0.02,47,1,63,40,31,393
119,450300.49,3297444.13,75,7,0.02,39,1,97,48,30,350
120,447523.03,3294531.54,110,16,0.02,68,4,56,61,33,551
121,446109.52,3294050.69,108,11,0.02,72,4,91,82,49,449
122,445046.7,3294188.82,228,10,0.02,76,1,93,80,55,421
123,447029.77,3296495.22,106,9,0.02,36,1,45,48,36,336
124,446997.59,3295852.65,142,13,0.02,41,1,75,49,34,538
125,445383.23,3295816.06,173,14,0.02,47,4,133,61,38,630
126,444955.17,3297159,243,19,0.02,36,2,176,129,30,846
127,445212.92,3298520.75,358,14,0.02,65,2,250,180,56,888
128,443435.87,3298673.57,132,14,0.02,89,2,124,83,34,978
129,442343.96,3298656.97,183,14,0.02,84,2,170,116,45,732
130,442659.44,3296140.01,122,14,0.02,92,2,90,86,33,1000
131,442062.19,3294658.12,30,16,0.02,25,4,48,2,12,140
132,442028.86,3293849.44,78,7,0.02,26,4,90,9,14,157
133,441451.47,3294362.25,91,16,0.02,102,4,58,30,25,599
134,444318.97,3299466.98,15,19,0.02,59,1,125,38,20,703
135,447561.14,3298553.61,152,17,0.02,48,2,117,47,23,631
136,447642.67,3299428.65,180,18,0.02,43,2,88,35,21,627
137,444369.42,3301815.94,107,14,0.02,52,2,121,30,19,673
138,440392.27,3302324.14,180,26,0.02,80,1,148,65,25,707
139,439045.33,3301566.76,194,14,0.02,53,2,89,48,24,677
140,437532.97,3298882.45,102,18,0.02,82,1,68,33,27,727
141,435861.06,3298836.58,31,8,0.02,51,2,86,32,19,861
142,434456.88,3298312.77,47,8,0.02,43,1,35,32,26,700
143,439256.35,3299515.65,159,18,0.02,42,2,67,35,28,371
144,439530.5,3298417,2,2,0.02,11,2,16,2,2,48
145,440818.37,3297080.45,2,2,0.02,14,2,91,7,11,150
146,439585.11,3295978.93,204,16,0.02,37,2,86,18,20,481
147,439104.72,3296524.51,138,12,0.02,24,4,113,10,23,245
148,437413.17,3296456.32,86,14,0.02,25,2,45,6,11,291
149,436321.73,3296628.84,91,10,0.02,42,2,65,21,21,305
150,437754.78,3297086.15,168,6,0.02,38,2,84,23,25,284
151,436756.61,3294908.67,44,2,0.02,21,2,21,2,8,81
152,436072.24,3293560.73,118,2,0.02,32,2,56,23,26,408
153,438496.81,3293192.45,83,15,0.02,90,2,116,50,54,521
154,439281.68,3291714.37,73,9,0.02,86,2,63,58,48,489
155,439773.71,3293351.61,77,6,0.02,96,4,76,51,57,563
156,440440.36,3291464.44,63,12,0.02,41,2,73,49,55,579
1,449985.75,3274519.48,70,19,0.02,38,2,44,12,11,480
2,450279.43,3275271.62,70,27,0.02,52,2,70,29,15,540
3,450515.02,3284788.8,100,37,0.02,37,2,60,17,11,540
4,449564.61,3286410.92,150,27,0.02,31,2,75,36,12,540
5,450490.74,3288057.84,120,32,0.02,51,2,52,36,23,480
6,427673.51,3287938.29,95,16,0.02,48,2,130,58,23,850
7,430601.96,3286013.71,100,19,0.02,31,1,44,45,12,500
8,431554.12,3286683.97,58,15,0.02,35,1,23,34,10,473
9,432925.96,3286409.56,36,15,0.02,39,2,115,75,29,448
10,433847.59,3286814.1,69,32,0.02,48,2,99,51,18,470
11,434993.03,3287516.69,52,20,0.02,52,2,102,59,23,471
12,435905.8,3288142.95,62,40,0.02,64,2,29,40,16,540
13,437189.42,3289387.94,54,18,0.02,54,2,18,38,16,315
14,433605.63,3285153.44,20,11,0.02,37,2,40,32,14,514
15,432223.25,3285361.25,66,28,0.02,50,2,32,45,17,423
16,431288.03,3284336.38,39,16,0.02,46,2,58,50,19,568
17,429461.91,3289334.3,33,19,0.02,57,2,62,51,18,556
18,427592.72,3287429.02,29,14,0.02,41,2,35,27,11,416
19,429082.79,3287497.04,29,14,0.02,39,2,23,27,9,518
20,429247.49,3286000.21,30,16,0.02,41,2,34,38,13,505
21,451402.59,3275244.51,25,23,0.02,52,1,38,34,14,445
22,450587.77,3274915.62,47,29,0.02,84,2,61,56,17,365
23,449805.16,3273124.14,29,13,0.02,44,1,34,24,10,458
24,448885.01,3275266.68,74,18,0.02,52,1,105,38,14,542
25,448618.15,3276198.67,105,17,0.02,68,2,143,52,18,415
26,450722.1,3276820.95,82,35,0.02,70,4,158,46,16,442
27,450724.77,3277430.24,82,17,0.02,58,2,107,48,15,440
28,440757.67,3282010.64,70,25,0.02,42,2,110,44,12,595
29,440143.7,3281171.67,108,24,0.02,52,2,177,42,12,531
30,428773.09,3284407.48,84,23,0.02,52,2,112,50,14,428
31,427940.67,3284390.61,72,12,0.02,49,2,135,51,16,462
32,430037.31,3287014.62,72,12,0.02,44,2,108,34,10,460
33,432690.53,3287452.75,112,23,0.02,56,2,105,45,18,495
34,433614.74,3288366.83,173,18,0.02,47,2,98,40,18,338
35,435158.75,3289432.72,92,20,0.02,55,1,49,74,19,440
36,434975.06,3291084.9,120,25,0.02,92,2,84,110,31,442
37,433946.99,3290581.15,103,20,0.02,90,2,68,100,29,480
38,431302.01,3289732.86,98,18,0.02,61,2,59,84,22,380
39,439197.6,3286972.05,70,18,0.02,44,2,82,85,18,450
40,438622.4,3286110.97,82,16,0.02,45,2,44,108,26,390
41,437280.95,3284988.09,95,18,0.02,50,2,150,110,30,360
42,435383.33,3283093.11,73,26,0.02,44,1,60,108,11,560
43,434294.55,3283875.11,76,20,0.02,57,2,95,53,20,438
44,435934.4,3284696.65,83,25,0.02,48,2,90,86,20,450
45,436233.69,3286246.28,280,49,0.02,76,2,150,78,31,840
46,436986.61,3287704.58,300,53,0.02,84,2,270,147,36,700
47,438860.13,3288891.08,225,76,0.02,92,1,122,66,35,735
48,439381.65,3290561.31,270,36,0.02,80,2,147,72,39,598
49,438179.26,3289991.75,47,22,0.02,95,2,48,64,46,400
50,439321.75,3290196,54,18,0.02,121,2,36,61,36,367
51,441501.89,3279956.63,44,21,0.02,81,2,112,44,30,497
52,439787.64,3279766.4,47,16,0.02,55,2,132,99,37,381
53,438113.07,3279753.33,55,20,0.02,58,2,184,137,42,407
54,437402.71,3280821.01,48,25,0.02,82,2,144,119,37,541
55,439344.33,3281907.46,67,39,0.02,72,1,79,89,26,519
56,439698.96,3283046.84,46,32,0.02,48,2,42,36,12,270
57,439791.85,3284121.07,42,32,0.02,50,2,81,57,26,331
58,440251.88,3285115.97,47,29,0.02,68,2,164,108,46,456
59,441175.17,3284113.71,68,50,0.02,79,2,98,116,44,447
60,432839.01,3283174.45,32,20,0.02,55,1,51,43,19,404
61,430233.7,3282824.73,43,18,0.02,51,2,34,37,22,282
62,428686.27,3281438.26,22,6,0.02,73,2,105,65,31,233
63,429128.77,3282521.4,44,25,0.02,82,2,66,65,23,287
64,429334.83,3281478.53,66,7,0.02,65,2,93,155,38,195
65,428174.97,3281674.23,58,8,0.02,32,2,68,91,27,249
66,430444.6,3280939.6,42,2,0.02,38,2,54,91,28,190
67,430598.28,3280716.94,48,8,0.02,32,2,126,146,37,387
68,431032.74,3279018.98,50,9,0.02,34,2,105,131,35,392
69,431598.71,3278151.08,117,15,0.02,46,2,153,120,42,371
70,430022.82,3276953.12,84,15,0.02,45,2,249,225,41,400
71,430135.7,3277938.59,94,20,0.02,45,2,124,200,39,307
72,428919.21,3276948.85,100,19,0.02,48,1,213,168,39,317
73,429134.15,3275717.62,113,22,0.02,47,1,192,179,35,229
74,430017.26,3274459.81,41,9,0.02,48,4,102,245,33,248
75,428395.05,3273694.36,180,20,0.02,62,1,75,148,29,130
76,427773.83,3278031.12,112,12,0.02,27,1,52,246,22,195
77,429096.18,3278886.91,223,8,0.02,30,2,44,130,27,140
78,430069.55,3279767.44,78,12,0.02,36,2,64,151,20,231
79,430553.03,3263996.04,7,2,0.02,9,2,22,18,7,15
80,432001.55,3264696.5,7,2,0.02,18,2,78,66,13,31
81,449943.42,3265001.36,29,2,0.02,16,2,37,39,20,102
82,450065.6,3266374.76,8,2,0.02,11,1,10,16,5,93
83,450234.83,3267360.35,64,8,0.02,50,1,27,45,11,316
84,440275.15,3287675.54,65,8,0.02,60,1,32,48,10,306
85,440832.78,3288880.46,83,18,0.02,135,4,68,149,40,348
86,441992.61,3286868.64,56,5,0.02,41,1,30,42,9,236
87,443028.25,3286985.27,73,9,0.02,52,1,32,48,11,319
88,443906.37,3286526.42,79,12,0.02,46,1,30,44,9,291
89,443313.03,3285875.7,54,5,0.02,56,1,33,48,11,251
90,444753.01,3285580.43,93,12,0.02,50,2,31,50,10,269
91,445233.08,3284890.97,77,12,0.02,49,1,37,41,9,314
92,443983.42,3284520.53,75,13,0.02,64,4,27,47,9,292
93,444782.15,3283707.51,83,8,0.02,63,2,25,52,10,291
94,444412.88,3283376.88,91,24,0.02,48,2,39,62,9,436
95,445948.91,3282870.79,107,11,0.02,64,2,23,53,10,350
